"book","chapter","verse","edition","text"
"Gal","01","01","3.05","Παῦλος ἀπόστολος οὐκ ἀπ᾽ ἀνθρώπων οὐδὲ δι᾽ ἀνθρώπου ἀλλὰ διὰ Ἰησοῦ Χριστοῦ () "
"Gal","01","02","3.05","[() ταῖς ἐκκλησίαις τῆς Γαλατίας —]"
"Gal","01","03","3.05","χάρις ὑμῖν καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς ἡμῶν καὶ κυρίου Ἰησοῦ (). "
"Gal","01","06","3.05","θαυμάζω ὅτι οὕτως ταχέως μετατίθεσθε ἀπὸ τοῦ καλέσαντος ὑμᾶς ἐν χάριτι εἰς ἕτερον εὐαγγέλιον. "
"Gal","01","07","3.05","οὐκ ἔστιν ἄλλο κατὰ τὸ εὐαγγέλιόν μου εἰ μή τινές εἰσιν οἱ ταράσσοντες ὑμᾶς καὶ θέλοντες μεταστρέψαι εἰς ἕτερον εὐαγγέλιον τοῦ Χριστοῦ. "
"Gal","01","08","3.05","ἀλλὰ καὶ ἐὰν ἡμεῖς ἢ ἄγγελος ἐξ οὐρανοῦ ἄλλως εὐαγγελίσηται ὑμῖν παρ᾽ ὃ εὐαγγελισάμεθα ὑμῖν ἀνάθεμα ἔστω. "
"Gal","01","09","3.05","() εἴ τις ὑμῶν εὐαγγελίζεται παρ᾽ [ὃ παρελάβετε ἀνάθεμα ἔστω]. "
"Gal","01","11","3.05","[γνωρίζω γὰρ ὑμῖν ἀδελφοί τὸ εὐαγγέλιον τὸ εὐαγγελισθὲν ὑπ᾽ ἐμοῦ ὅτι οὐκ ἔστιν κατὰ ἄνθρωπον·] "
"Gal","01","12","3.05","[οὐδὲ γὰρ ἐγὼ παρὰ ἀνθρώπου παρέλαβον αὐτό οὔτε ἐδιδάχθην ἀλλὰ δι᾽ ἀποκαλύψεως Ἰησοῦ Χριστοῦ.] "
"Gal","01","13","3.05","[ἠκούσατε γὰρ τὴν ἐμὴν ἀναστροφήν ποτε ἐν τῷ Ἰουδαϊσμῷ ὅτι καθ᾽ ὑπερβολὴν] ἐδίωκον [τὴν ἐκκλησίαν τοῦ θεοῦ καὶ ἐπόρθουν αὐτήν] "
"Gal","01","14","3.05","[καὶ προέκοπτον ἐν τῷ Ἰουδαϊσμῷ ὑπὲρ πολλοὺς συνηλικιώτας ἐν τῷ γένει μου περισσοτέρως ζηλωτὴς ὑπάρχων τῶν πατρικῶν μου παραδόσεων.] "
"Gal","01","15","3.05","[ὅτε δὲ εὐδόκησεν ὁ θεὸς ὁ ἀφορίσας με ἐκ κοιλίας μητρός μου καὶ καλέσας διὰ τῆς χάριτος αὐτοῦ] "
"Gal","01","16","3.05","[ἀποκαλύψαι τὸν υἱὸν αὐτοῦ ἐν ἐμοὶ ἵνα εὐαγγελίσωμαι αὐτὸν ἐν τοῖς ἔθνεσιν εὐθέως οὐ προσανεθέμην σαρκὶ καὶ αἵματι] "
"Gal","01","17","3.05","[οὐδὲ ἀνῆλθον εἰς Ἱεροσόλυμα πρὸς] τοὺς πρὸ ἐμοῦ ἀποστόλους [ἀλλὰ ()] "
"Gal","02","01","3.05","[()] ἔπειτα διὰ δεκατεσσάρων ἐτῶν ἀνέβην εἰς Ἱεροσόλυμα () "
"Gal","02","02","3.05","() [καὶ ἀνεθέμην αὐτοῖς τὸ εὐαγγέλιον ὃ κηρύσσω ἐν τοῖς ἔθνεσιν ()] μή πως εἰς κενὸν τρέχω ἢ ἔδραμον. "
"Gal","02","03","3.05","ἀλλ᾽ οὐδὲ Τίτος ὁ σὺν ἐμοί Ἕλλην ὤν ἠναγκάσθη περιτμηθῆναι "
"Gal","02","04","3.05","διὰ τοὺς παρεισάκτους ψευδαδέλφους οἵτινες παρεισῆλθον κατασκοπῆσαι τὴν ἐλευθερίαν ἡμῶν ἣν ἔχομεν ἐν Χριστῷ ἵνα ἡμᾶς καταδουλώσουσιν. "
"Gal","02","05","3.05","οὐδὲ πρὸς ὥραν εἴξαμεν τῇ ὑποταγῇ (). "
"Gal","02","09","3.05","[καὶ γνόντες τὴν χάριν τὴν δοθεῖσάν μοι] Πέτρος καὶ Ἰάκωβος καὶ Ἰωάννης δεξιὰς ἔδωκαν ἐμοὶ ἵνα ἐγὼ εἰς τὰ ἔθνη αὐτοὶ εἰς τὴν περιτομήν — "
"Gal","02","10","3.05","μόνον τῶν πτωχῶν ἵνα μνημονεύωμεν ()."
"Gal","02","11","3.05","[ὅτε δὲ ἦλθεν] Πέτρος [εἰς Ἀντιόχειαν] κατὰ πρόσωπον αὐτῷ ἀντέστην [ὅτι] κατεγνωσμένος ἦν. "
