"book","chapter","verse","edition","text" 
"Gal","1","01","3.02","Παῦλος@nnmsp [ἀπόστολος@nnmsc οὐ@b ἀπό@pg ἄνθρωπος@ngmpc οὐδέ@cc διά@pg ἄνθρωπος@ngmsc ἀλλά@cc] διά@pg Ἰησοῦς@ngmsp Χριστός@ngmsp ὁ@dgms ἐγείρω@vpaagms ἑαυτοῦ@rxams ἐκ@pg νεκρός@angmpn" 
"Gal","1","06","3.02","[θαυμάζω@vipa1s ὅτι@cs οὕτω@b ταχέως@b μετατίθημι@vipe2p ἀπό@pg ὁ@dgms καλέω@vpaagms σύ@rpa-p] ἐν@pd χάρις@ndfsc εἰς@pa ἕτερος@aiansn εὐαγγέλιον@nansc" 
"Gal","1","07","3.02","ὅς@rrnns (πάντως@b) οὐ@b εἰμί@vipa3s ἄλλος@ainnsn [εἰ@cs μή@x τὶς@rinmp εἰμί@vipa3p ὁ@dnmp ταράσσω@vppanmp σύ@rpa-p καί@cc θέλω@vppanmp μεταστρέφω@vnaa ὁ@dans εὐαγγέλιον@nansc ὁ@dgms Χριστός@ngmsp]" 
"Gal","1","08","3.02","[ἀλλά@cc καί@b ἐάν@cs ἐγώ@rpn-p ἤ@cc ἄγγελος@nnmsc] ἐκ@pg οὐρανός@ngmsc ἄλλως@b εὐαγγελίζω@vsam3s ἀνάθεμα@nnnsc εἰμί@vdpa3s" 
"Gal","1","12","3.02","[οὐδέ@b γάρ@cc ἐγώ@rpn-s παρά@pg ἄνθρωπος@ngmsc παραλαμβάνω@viaa1s αὐτός@rpans οὔτε@cc διδάσκω@viap1s ἀλλά@cc διά@pg ἀποκάλυψις@ngfsc Ἰησοῦς@ngmsp Χριστός@ngmsp]" 
"Gal","1","13","3.02","[ἀκούω@viaa2p γάρ@cc ὁ@dafs ἐμός@asafsn ἀναστροφή@nafsc ποτέ@b ἐν@pd ὁ@ddms Ἰουδαϊσμός@ndmsp ὅτι@cs κατά@pa ὑπερβολή@nafsc διώκω@viia1s ὁ@dafs ἐκκλησία@nafsc ὁ@dgms θεός@ngmsc καί@cc πορθέω@viia1s αὐτός@rpafs]" 
"Gal","1","14","3.02","[καί@cc προκόπτω@viia1s ἐν@pd ὁ@ddms Ἰουδαϊσμός@ndmsp ὑπέρ@pa πολύς@anampn συνηλικιώτης@nampc ἐν@pd ὁ@ddns γένος@ndnsc ἐγώ@rpg-s περισσοτέρως@b ζηλωτής@nnmsc ὑπάρχω@vppanms ὁ@dgfp πατρικός@angfpn ἐγώ@rpg-s παράδοσις@ngfpc]" 
"Gal","1","15","3.02","[ὅτε@cs δέ@cc εὐδοκέω@viaa3s ὁ@dnms ἀφορίζω@vpaanms ἐγώ@rpa-s ἐκ@pg κοιλία@ngfsc μήτηρ@ngfsc ἐγώ@rpg-s καί@cc καλέω@vpaanms διά@pg ὁ@dgfs χάρις@ngfsc αὐτός@rpgms]" 
"Gal","1","16","3.02","[ἀποκαλύπτω@vnaa ὁ@dams υἱός@namsc αὐτός@rpgms ἐν@pd ἐγώ@rpd-s ἵνα@cs εὐαγγελίζω@vspm1s αὐτός@rpams ἐν@pd ὁ@ddnp ἔθνος@ndnpc εὐθέως@b οὐ@b προσανατίθημι@viam1s σάρξ@ndfsc καί@cc αἷμα@ndnsc]" 
"Gal","1","17","3.02","[οὐδέ@cc ἀνέρχομαι@viaa1s εἰς@pa Ἱεροσόλυμα@nanpp πρός@pa ὁ@damp πρό@pg ἐγώ@rpg-s ἀπόστολος@nampc ἀλλά@cc ἀπέρχομαι@viaa1s εἰς@pa Ἀραβία@nafsp καί@cc πάλιν@b ὑποστρέφω@viaa1s εἰς@pa Δαμασκός@nafsp]" 
"Gal","2","01","3.02","[ἔπειτα@b διά@pg δεκατέσσαρες@acgnpn ἔτος@ngnpc] [ἀναβαίνω@viaa1s εἰς@pa Ἱεροσόλυμα@nanpp μετά@pg Βαρναβᾶς@ngmsp συμπαραλαμβάνω@vpaanms καί@b Τίτος@namsp]" 
"Gal","2","02","3.02","[ἀναβαίνω@viaa1s δέ@cc κατά@pa ἀποκάλυψις@nafsc καί@cc ἀνατίθημι@viam1s αὐτός@rpdmp ὁ@dans εὐαγγέλιον@nansc ὅς@rrans κηρύσσω@vipa1s ἐν@pd ὁ@ddnp ἔθνος@ndnpc κατά@pa ἴδιος@anafsn δέ@cc ὁ@ddmp δοκέω@vppadmp μήπως@cs] εἰς@pa κενός@anansn τρέχω@viaa1s ἤ@cc τρέχω@vspa1s" 
"Gal","2","03","3.02","ἀλλά@cc οὐδέ@b Τίτος@nnmsp [ὁ@dnms σύν@pd ἐγώ@rpd-s Ἕλλην@nnmsp εἰμί@vppanms] ἀναγκάζω@viap3s περιτέμνω@vnap" 
"Gal","2","04","3.02","διά@pa ὁ@damp παρείσακτος@anampn [ψευδάδελφος@nampc ὅστις@rrnmp παρεισέρχομαι@viaa3p κατασκοπέω@vnaa ὁ@dafs ἐλευθερία@nafsc ἐγώ@rpg-p ὅς@rrafs ἔχω@vipa1p] ἐν@pd Χριστός@ndmsp ἵνα@cs ἐγώ@rpa-p καταδουλόω@vifa3p" 
