"book","chapter","verse","edition","text"
"Gal","1","01","3.02","Παῦλος [ἀπόστολος οὐκ ἀπ᾽ ἀνθρώπων οὐδὲ δι᾽ ἀνθρώπου ἀλλὰ] διὰ Ἰησοῦ Χριστοῦ τοῦ ἐγείραντος αὑτὸν ἐκ νεκρῶν."
"Gal","1","06","3.02","[θαυμάζω ὅτι οὕτως ταχέως μετατίθεσθε ἀπὸ τοῦ καλέσαντος ὑμᾶς] ἐν χάριτι εἰς ἕτερον εὐαγγέλιον"
"Gal","1","07","3.02","ὃ (πάντως) οὐκ ἔστιν ἄλλο [εἰ μή τινές εἰσιν οἱ ταράσσοντες ὑμᾶς καὶ θέλοντες μεταστρέψαι τὸ εὐαγγέλιον τοῦ Χριστοῦ.]"
"Gal","1","08","3.02","[ἀλλὰ καὶ ἐὰν ἡμεῖς ἢ ἄγγελος] ἐξ οὐρανοῦ ἄλλως εὐαγγελίσηται ἀνάθεμα ἔστω."
"Gal","1","12","3.02","[οὐδὲ γὰρ ἐγὼ παρὰ ἀνθρώπου παρέλαβον αὐτό οὔτε ἐδιδάχθην ἀλλὰ δι᾽ ἀποκαλύψεως Ἰησοῦ Χριστοῦ.]"
"Gal","1","13","3.02","[ἠκούσατε γὰρ τὴν ἐμὴν ἀναστροφήν ποτε ἐν τῷ Ἰουδαϊσμῷ ὅτι καθ᾽ ὑπερβολὴν ἐδίωκον τὴν ἐκκλησίαν τοῦ θεοῦ καὶ ἐπόρθουν αὐτήν·]"
"Gal","1","14","3.02","[καὶ προέκοπτον ἐν τῷ Ἰουδαϊσμῷ ὑπὲρ πολλοὺς συνηλικιώτας ἐν τῷ γένει μου περισσοτέρως ζηλωτὴς ὑπάρχων τῶν πατρικῶν μου παραδόσεων.]"
"Gal","1","15","3.02","[ὅτε δὲ εὐδόκησεν ὁ ἀφορίσας με ἐκ κοιλίας μητρός μου καὶ καλέσας διὰ τῆς χάριτος αὐτοῦ]"
"Gal","1","16","3.02","[ἀποκαλύψαι τὸν υἱὸν αὐτοῦ ἐν ἐμοὶ ἵνα εὐαγγελίζωμαι αὐτὸν ἐν τοῖς ἔθνεσιν εὐθέως οὐ προσανεθέμην σαρκὶ καὶ αἵματι]"
"Gal","1","17","3.02","[οὐδὲ ἀνῆλθον εἰς Ἱεροσόλυμα πρὸς τοὺς πρὸ ἐμοῦ ἀποστόλους ἀλλὰ ἀπῆλθον εἰς Ἀραβίαν καὶ πάλιν ὑπέστρεψα εἰς Δαμασκόν.]"
"Gal","2","01","3.02","[ἔπειτα διὰ δεκατεσσάρων ἐτῶν] [ἀνέβην εἰς Ἱεροσόλυμα μετὰ Βαρναβᾶ συνπαραλαβὼν καὶ Τίτον·]"
"Gal","2","02","3.02","[ἀνέβην δὲ κατὰ ἀποκάλυψιν καὶ ἀνεθέμην αὐτοῖς τὸ εὐαγγέλιον ὃ κηρύσσω ἐν τοῖς ἔθνεσιν κατ᾽ ἰδίαν δὲ τοῖς δοκοῦσιν μήπως] εἰς κενὸν ἔδραμον ἢ τρέχω."
"Gal","2","03","3.02","ἀλλ᾽ οὐδὲ Τίτος [ὁ σὺν ἐμοί Ἕλλην ὤν] ἠναγκάσθη περιτμηθῆναι"
"Gal","2","04","3.02","διὰ τοὺς παρεισάκτους [ψευδαδέλφους οἵτινες παρεισῆλθον κατασκοπῆσαι τὴν ἐλευθερίαν ἡμῶν ἣν ἔχομεν] ἐν Χριστῷ ἵνα ἡμᾶς καταδουλώσουσιν."
"Gal","2","05","3.02","οὐδὲ πρὸς ὥραν εἴξαμεν τῇ ὑποταγῇ [ἵνα ἡ ἀλήθεια τοῦ εὐαγγελίου διαμείνῃ πρὸς ὑμᾶς.]"
"Gal","2","09","3.02","[καὶ γνόντες τὴν χάριν τὴν δοθεῖσάν μοι] Πέτρος καὶ Ἰάκωβος καὶ Ἰωάννης [οἱ δοκοῦντες στῦλοι εἶναι δεξιὰς ἔδωκαν ἐμοὶ καὶ Βαρναβᾷ κοινωνίας ἵνα ἡμεῖς εἰς τὰ ἔθνη αὐτοὶ δὲ εἰς τὴν περιτομήν·]"
"Gal","2","10","3.02","[μόνον τῶν πτωχῶν ἵνα μνημονεύωμεν ὃ καὶ ἐσπούδασα αὐτὸ τοῦτο ποιῆσαι.]"
