YYYY-mm-dd,resp,decision,location,rec,pre,post
2025-02-20,MV,confirmed,1Cr13.08,del,Ἡ ἀγάπη οὐδέποτε πίπτει εἴτε δὲ προφητεῖαι καταργηθήσονται εἴτε γλῶσσαι παύσονται εἴτε γνῶσις καταργηθήσεται,-
2025-02-20,MV,confirmed,1Cr13.09,del,ἐκ μέρους γὰρ γινώσκομεν καὶ ἐκ μέρους προφητεύομεν,-
2025-02-20,MV,confirmed,1Cr13.10,del,ὅταν δὲ ἔλθῃ τὸ τέλειον τὸ ἐκ μέρους καταργηθήσεται,-
2025-02-20,MV,confirmed,1Cr13.11,del,ὅτε ἤμην νήπιος ἐλάλουν ὡς νήπιος ἐφρόνουν ὡς νήπιος ἐλογιζόμην ὡς νήπιος ὅτε γέγονα ἀνήρ κατήργηκα τὰ τοῦ νηπίου,-
2025-02-18,MGB,accepted,1Cr03.12,del,λίθους τιμίους,-
2025-02-18,MGB,rejected,1Cr03.12,del,ξύλα,-
2025-02-18,MGB,rejected,1Cr09.07,sub,στρατεύεται,στρατεύεται καὶ ἐκ τῶν κρεῶν οὐκ ἐσθίει
2025-02-18,MGB,rejected,1Cr09.07,del,καὶ πίνει,-
2025-02-18,MGB,rejected,1Cr10.04,sub,ἡ πέτρα δὲ,ἡ δὲ πέτρα
2025-02-18,MGB,accepted,1Cr10.07,sub,ἔστε,γίνεσθε
2025-02-18,MGB,accepted,1Cr11.19,sub,δεῖ καὶ,δεῖ γὰρ
2025-02-18,MGB,accepted,1Cr12.12,sub,πάντα,πάντα δὲ
2025-02-18,MGB,rejected,1Cr12.28,sub,καὶ ἀποστόλους,ἀποστόλους
2025-02-18,MGB,rejected,1Cr14.06,sub,ἐν ἀποκαλύψει ἐν προφητείᾳ ἢ διδαχή,ἀποκαλύψει ἢ προφητείᾳ ἢ διδαχῇ
2025-02-18,MGB,accepted,2Cr02.15,del,ὅτι Χριστοῦ εὐωδία,-
2025-02-18,MGB,accepted,2Cr02.15,del,τῷ θεῷ,-
2025-02-18,MGB,rejected,2Cr02.15,del,ἐν τοῖς σῳζομένοις καὶ ἐν τοῖς ἀπολλυμένοις,-
2025-02-18,MGB,accepted,2Cr02.16,del,οἷς μὲν ὀσμὴ,-
2025-02-18,MGB,rejected,2Cr02.16,del,ἐκ θανάτου εἰς θάνατον οἷς δὲ ὀσμὴ ἐκ ζωῆς εἰς ζωήν,-
2025-02-18,MGB,accepted,2Cr02.16,del,καὶ πρὸς ταῦτα τίς ἱκανός,-
2025-02-18,MGB,rejected,2Cr03.02,del,ἡ ἐπιστολὴ ἡμῶν ὑμεῖς ἐστε ἐγγεγραμμένη ἐν ταῖς καρδίαις ἡμῶν γινωσκομένη καὶ ἀναγινωσκομένη ὑπὸ πάντων ἀνθρώπων,-
2025-02-18,MGB,rejected,2Cr03.03,sub,φανερούμενοι ὅτι ἐστὲ ἡ καινὴ διαθήκη Χριστοῦ καὶ ἐγγεγραμμένη οὐ μέλανι ἀλλὰ with ἡ καινὴ διαθήκη ἐγενήθη,ἡ καινὴ διαθήκη ἐγενήθη πνεύματι
2025-02-18,MGB,rejected,2Cr03.06,sub,καινῆς διαθήκης,καινὴ διαθήκη
2025-02-18,MGB,rejected,2Cr03.07,del,ἐν γράμματι ἐντετυπωμένη λίθοις,-
2025-02-18,MGB,rejected,2Cr03.14,del,ἐπὶ τῇ ἀναγνώσει τῆς παλαιᾶς διαθήκης μένει μὴ ἀνακαλυπτόμενον ἐν Χριστῷ καταργεῖται,-
2025-02-18,MGB,rejected,2Cr03.15,del,ἀλλ’ ἕως σήμερον ἡνίκα ἂν ἀναγινώσκηται Μωϋσῆς κάλυμμα,-
2025-02-18,MGB,rejected,2Cr03.18,del,τὸν Χριστὸν,-
2025-02-18,MGB,rejected,2Cr04.03,add,-,εἰ δὲ καὶ ἔστιν κεκαλυμμένον τὸ εὐαγγέλιον ἡμῶν ἐν τοῖς ἀπολλυμένοις ἐστὶν κεκαλυμμένον
2025-02-18,MGB,rejected,2Cr05.01,sub,οἰκοδομὴν ἐκ θεοῦ ἔχομεν οἰκίαν,οἰκίαν ἐκ θεοῦ ἔχομεν
2025-02-18,MGB,rejected,2Cr12.02,del,ἐν Χριστῷ,-
