YYYY-mm-dd	resp	decision	location	rec	pre	post	delete_cnt	add_cnt	proposed_abs	actual_abs	proposed_tally	actual_tally	word_tally
2023-04-21	MV	baseline	mPaul10	add	varia	varia	0	0	0	0	0	0	8351
2023-05-26	MV	confirmed	1Cr15.23	del	Ἕκαστος δὲ ἐν τῷ ἰδίῳ τάγματι	-	-6	0	6	6	6	6	8345
2023-05-26	MV	confirmed	1Cr15.24	del	τὸ τέλος ὅταν παραδιδῷ τὴν βασιλείαν τῷ θεῷ καὶ πατρί ὅταν καταργήσῃ πᾶσαν ἀρχὴν καὶ πᾶσαν ἐξουσίαν	-	-17	0	17	17	23	23	8328
2023-05-27	MGB	accepted	Gal01.19	del	ἕτερον δὲ τῶν ἀποστόλων οὐκ εἶδον οὐδένα εἰ μὴ Ἰάκωβον τὸν ἀδελφὸν τοῦ κυρίου	-	-14	0	14	14	37	37	8314
2023-05-27	MGB	accepted	Gal01.18	del	καὶ ἐπέμεινα πρὸς αὐτὸν ἡμέρας δεκαπέντε	-	-6	0	6	6	43	43	8308
2023-05-27	MGB	accepted	Gal01.19	del	ἕτερον δὲ τῶν ἀποστόλων οὐκ εἶδον οὐδένα εἰ μὴ Ἰάκωβον τὸν ἀδελφὸν τοῦ κυρίου	-	-14	0	14	14	57	57	8294
2023-05-27	MGB	accepted	1Cr09.01	sub	Ἰησοῦν τὸν κύριον	Ἰησοῦν κύριον	-1	0	2	2	59	59	8293
2023-05-27	MGB	accepted	Gal01.20	del	ἃ δὲ γράφω ὑμῖν ἰδοὺ ἐνώπιον τοῦ θεοῦ ὅτι οὐ ψεύδομαι	-	-11	0	11	11	70	70	8282
2023-05-27	MGB	rejected	Gal02.02	del	ἀνέβην δὲ κατὰ ἀποκάλυψιν	-	0	0	4	0	74	70	8282
2023-05-28	MGB	accepted	2Cr12.01	del	Καυχᾶσθαι δεῖ οὐ συμφέρον μέν ἐλεύσομαι δὲ εἰς ὀπτασίας καὶ ἀποκαλύψεις κυρίου	-	-12	0	12	12	86	82	8270
2023-05-28	MGB	accepted	1Cr09.16	sub	ἐὰν γὰρ εὐαγγελίζωμαι οὐκ ἔστιν μοι καύχημα ἀνάγκη γάρ μοι ἐπίκειται οὐαὶ γάρ μοί ἐστιν ἐὰν μὴ εὐαγγελίσωμαι	ἐὰν εὐαγγελίζωμαι οὐκ ἔστιν μοι χάρις οὐαὶ μοί ἐὰν μὴ εὐαγγελίσωμαι	-7	0	17	17	103	99	8263
2023-05-29	MGB	accepted	1Th02.14	del	τὰ αὐτὰ	-	-2	0	2	2	105	101	8261
2023-05-29	MGB	accepted	Gal01.19	sub	Ἰησοῦν τὸν κύριον	Ἰησοῦν κύριον	-1	0	2	2	107	103	8260
2023-05-30	MGB	accepted	1Th04.10	del	παρακαλοῦμεν δὲ ὑμᾶς	-	-3	0	3	3	110	106	8257
2023-05-30	MGB	accepted	2Th03.12	del	καὶ παρακαλοῦμεν	-	-2	0	2	2	112	108	8255
2023-05-30	MGB	accepted	1Cr04.13	del	παρακαλοῦμεν	-	-1	0	1	1	113	109	8254
2023-05-31	MGB	accepted	Gal04.18	sub	ἐν τῷ παρεῖναί με	ἐγὼ παρὼν	-2	0	4	4	117	113	8252
2023-05-31	MGB	accepted	Gal04.20	sub	ἤθελον δὲ	θέλω	-1	0	2	2	119	115	8251
2023-05-31	MGB	accepted	1Cr14.05	sub	θέλω δὲ	θέλω	-1	0	1	1	120	116	8250
2023-05-31	MGB	accepted	Gal04.21	del	Λέγετέ μοι	-	-2	0	2	2	122	118	8248
2023-05-31	MGB	accepted	Rom07.05	sub	ὅτε γὰρ	ὅτε δὲ	0	0	1	1	123	119	8248
2023-05-31	MGB	accepted	1Th04.09	del	οὐ χρείαν ἔχομεν γράφειν ὑμῖν αὐτοὶ γὰρ ὑμεῖς θεοδίδακτοί ἐστε	-	-10	0	10	10	133	129	8238
2023-06-04	MV	confirmed	Rom01.19	del	διότι τὸ γνωστὸν τοῦ θεοῦ φανερόν ἐστιν ἐν αὐτοῖς ὁ θεὸς γὰρ αὐτοῖς ἐφανέρωσεν	-	-14	0	14	14	147	143	8224
2023-06-04	MV	confirmed	Rom01.20	del	τὰ γὰρ ἀόρατα αὐτοῦ ἀπὸ κτίσεως κόσμου τοῖς ποιήμασιν νοούμενα καθορᾶται ἥ τε ἀΐδιος αὐτοῦ δύναμις καὶ θειότης εἰς τὸ εἶναι αὐτοὺς ἀναπολογήτους	-	-23	0	23	23	170	166	8201
2023-06-04	MV	confirmed	Rom01.21	del	διότι γνόντες τὸν θεὸν οὐχ ὡς θεὸν ἐδόξασαν ἢ ηὐχαρίστησαν ἀλλ᾽ ἐματαιώθησαν ἐν τοῖς διαλογισμοῖς αὐτῶν καὶ ἐσκοτίσθη ἡ ἀσύνετος αὐτῶν καρδία	-	-22	0	22	22	192	188	8179
